# The energy threshold above which the kinetic energy of a charged particle should be to take part in the electrical field calculations is 0.1 MeV
# time (ns)	electric field (V/m)
# Antenna 0 at (0m, -90m, 10m) (Geant4 coordinates)
565.6 (1.03766954517695e-10,-2.18540844674106e-11,-2.62216216002119e-10)
565.8 (2.8588080462743e-11,9.47067249861704e-12,1.21081676833524e-10)
566 (-2.65572764303904e-11,-4.76599733204407e-12,-6.93302822149801e-11)
566.2 (7.36059601196708e-11,-7.58253808219864e-12,-8.29085659837845e-11)
566.4 (3.25960979587825e-13,-2.87770977741894e-13,3.28555990690787e-12)
566.6 (-1.84705743410193e-10,1.21908405102649e-11,1.16214127348254e-10)
566.8 (1.48208610212167e-12,-1.66140421801918e-12,-2.12503515787401e-11)
567 (3.70649523985395e-11,2.06577142903399e-13,8.00663960169795e-12)
567.2 (-5.67494583576607e-11,1.56142793267011e-12,1.76998075738419e-11)
567.4 (7.92964194382473e-11,6.02352407624573e-12,6.92236526587847e-11)
567.6 (1.67418416056205e-10,2.22873182418423e-12,3.49956251244471e-11)
567.8 (-6.43653350701607e-11,-7.12231845532793e-12,-8.89274193152406e-11)
568 (9.36226896193887e-12,-1.52302110759346e-11,-1.76228123300836e-10)
568.2 (-2.03388579375445e-11,6.38163684808249e-12,7.38497344036439e-11)
568.4 (9.60210236224872e-12,5.30417058677891e-12,5.51157173741953e-11)
568.6 (-7.32554196588397e-11,-7.86751548676118e-12,-9.79722494222067e-11)
568.8 (-4.82145916193247e-11,1.43152031480327e-11,1.60517267922407e-10)
569 (8.41593017732269e-11,-1.65012799210416e-11,-1.83711912821905e-10)
569.2 (2.02906901991826e-10,-1.62468318282905e-11,-1.5662722813621e-10)
569.4 (-2.21453468038445e-10,2.28658738890189e-11,2.28729059826703e-10)
569.6 (-2.07519631135016e-11,8.60268202995564e-12,9.30513935263571e-11)
569.8 (1.31085208964232e-11,4.32494339874299e-12,5.47273478303904e-11)
570 (1.42704709919136e-10,-6.75821978282564e-12,-7.56397512281409e-11)
570.2 (-5.92636573650071e-11,1.09101406257046e-11,1.22906126629187e-10)
570.4 (-1.02304812858919e-10,-5.52129264745322e-12,-6.85549909681237e-11)
570.6 (1.53213123296046e-10,-1.44455465520244e-12,-1.52289599663692e-11)
570.8 (-1.55658901792214e-10,-5.8148512256688e-12,-7.40420933577279e-11)
571 (1.17716498195291e-10,-7.57454472696839e-12,-8.64165397108143e-11)
571.2 (-1.20229970996949e-10,7.21454427406969e-12,7.92342355242621e-11)
571.4 (2.41340051385032e-11,-1.51747878290342e-12,-1.99290161128825e-11)
571.6 (-7.40693714622121e-11,-1.47960556200551e-12,-2.19439254563782e-11)
571.8 (2.85870449399837e-11,7.53075383108549e-12,8.72277214989085e-11)
572 (8.25811283123129e-11,5.96721278785103e-12,7.15668833817461e-11)
572.2 (-1.17411767817895e-10,-3.81876830930657e-12,-5.03425234130801e-11)
572.4 (6.42846845853173e-11,-1.03258534563076e-11,-1.28550856293956e-10)
572.6 (-1.09324359604593e-10,6.24762146722705e-12,7.20124282660385e-11)
572.8 (2.69533989070945e-10,-9.13127601923439e-12,-8.85633041046367e-11)
573 (-1.300691983962e-10,1.60912422545724e-13,-1.15519795434277e-11)
573.2 (-6.16652419542459e-11,1.02198165231881e-11,1.08473623963652e-10)
573.4 (7.79873169975678e-11,2.00260374728938e-12,2.84464184185639e-11)
573.6 (-3.88640767569885e-11,2.32651160908246e-12,2.85590196637684e-11)
